Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C21, C22, C23, C24, C27, C3, C4, C5, C6",C_Rect_L11.5mm_W3.6mm_P10.00mm_MKT,13,C,
C20,C_Radial_D10.0mm_H12.5mm_P5.00mm,1,C,
"C25, C26",1206,2,C,
"J1, J10, J11, J12, J13, J14, J15, J16, J2, J3, J4, J40, J42, J5, J6, J7, J8, J9",PinHeader_1x02_P2.54mm_Vertical,18,Conn_01x02_Pin,
J30,PinHeader_1x02_P2.54mm_Vertical,1,Alim,
J31,PinHeader_1x02_P2.54mm_Vertical,1,Pile,
J32,BarrelJack_Wuerth_6941xx301002,1,Barrel_Jack_Switch,
"J41, J43",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,2,Conn_Coaxial,
"R1, R10, R11, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,11,R_US,
"R12, R13, R14, R15",1206,4,R_US,
"U1, U2, U3, U4, U5",DIP-8_W7.62mm_Socket_LongPads,5,TL081,
"U6, U7",SOIC-8_3.9x4.9mm_P1.27mm,2,TL081,
