Designator,Mid X,Mid Y,Rotation,Layer
C1,49.5,-115.0,270.0,top
C10,67.5,-71.0,180.0,top
C11,170.5,-78.5,0.0,top
C2,59.0,-110.0,180.0,top
C20,159.5,-34.5,90.0,top
C21,81.5,-115.5,270.0,top
C22,73.0,-31.0,270.0,top
C23,107.0,-32.0,270.0,top
C24,118.5,-98.5,270.0,top
C25,142.0,-55.5625,270.0,top
C26,149.4375,-73.0,0.0,top
C27,152.0,-117.0,270.0,top
C3,96.0,-83.0,180.0,top
C4,97.5,-98.0,270.0,top
C5,121.5,-109.0,180.0,top
C6,125.5,-114.0,180.0,top
J1,66.73,-78.0,270.0,top
J10,73.005,-41.0,270.0,top
J11,86.495,-43.0,90.0,top
J12,109.505,-43.0,270.0,top
J13,122.77,-54.0,90.0,top
J14,147.23,-54.0,270.0,top
J15,128.995,-73.0,90.0,top
J16,158.73,-73.0,270.0,top
J2,170.495,-73.0,90.0,top
J3,48.495,-101.5,90.0,top
J30,127.0,-29.505,180.0,top
J31,134.0,-29.505,180.0,top
J32,144.85,-34.45,180.0,top
J4,86.005,-102.5,270.0,top
J40,47.995,-86.5,90.0,top
J41,52.915,-75.08,90.0,top
J42,190.005,-85.0,270.0,top
J43,184.165,-73.5,270.0,top
J5,79.995,-85.5,90.0,top
J6,119.73,-85.0,270.0,top
J7,114.495,-114.0,90.0,top
J8,158.505,-114.0,270.0,top
J9,48.495,-41.0,90.0,top
R1,49.69,-105.5,180.0,top
R10,140.5,-109.0,0.0,top
R11,133.5,-117.81,270.0,top
R12,128.5,-55.5,90.0,top
R13,135.5,-58.5,0.0,top
R14,135.0,-73.5,180.0,top
R15,142.5,-79.5,0.0,top
R2,62.5,-117.0,90.0,top
R3,72.19,-107.0,180.0,top
R4,62.5,-39.0,0.0,top
R5,53.5,-33.5,90.0,top
R6,86.5,-32.5,270.0,top
R7,97.5,-40.0,0.0,top
R8,85.0,-90.0,180.0,top
R9,96.0,-90.0,180.0,top
U1,72.19,-115.31,0.0,top
U2,64.01,-30.51,0.0,top
U3,97.51,-31.01,0.0,top
U4,109.01,-95.01,0.0,top
U5,142.81,-116.81,0.0,top
U6,135.5,-54.0,270.0,top
U7,142.5,-74.0,270.0,top
